titles,dynastys,authors,context
姑苏怀古,唐代,许浑,宫馆余基倚棹过，黍苗无限独悲歌。荒台麋鹿争新草，空苑岛凫占浅莎。吴岫雨来虚槛冷，楚江风急远帆多。可怜国破忠臣死，日月东流生白波。
端午遍游诸寺得禅字,宋代,苏轼,肩舆任所适，遇胜辄留连。焚香引幽步，酌茗开静筵。微雨止还作，小窗幽更妍。盆山不见日，草木自苍然。忽登最高塔，眼界穷大千。卞峰照城郭，震泽浮云天。深沉既可喜，旷荡亦所便。幽寻未云毕，墟落生晚烟。归来记所历，耿耿清不眠。道人亦未寝，孤灯同夜禅。
月上瓜洲·寓乌夜啼南徐多景楼作,宋代,张辑,江头又见新秋。几多愁。塞草连天何处、是神州。 英雄恨，古今泪，水东流。惟有渔竿明月、上瓜洲。
却东西门行,两汉,曹操,鸿雁出塞北，乃在无人乡。举翅万馀里，行止自成行。冬节食南稻，春日复北翔。田中有转蓬，随风远飘扬。长与故根绝，万岁不相当。奈何此征夫，安得驱四方！戎马不解鞍，铠甲不离傍。冉冉老将至，何时返故乡？神龙藏深泉，猛兽步高冈。狐死归首丘，故乡安可忘！
清江引·相思,元代,徐再思,相思有如少债的，每日相催逼。常挑着一担愁，准不了三分利。这本钱见他时才算得。
早秋山中作,唐代,王维,无才不敢累明时，思向东溪守故篱。岂厌尚平婚嫁早，却嫌陶令去官迟。草间蛩响临秋急，山里蝉声薄暮悲。寂寞柴门人不到，空林独与白云期。
折桂令·中秋,元代,张养浩,一轮飞镜谁磨？照彻乾坤，印透山河。玉露泠泠，洗秋空银汉无波，比常夜清光更多，尽无碍桂影婆娑。老子高歌，为问嫦娥，良夜恹恹，不醉如何？
诗品二十四则·含蓄,唐代,司空图,不著一字，尽得风流。语不涉难，已不堪忧。是有真宰，与之沉浮。如渌满酒，花时返秋。悠悠空尘，忽忽海沤。浅深聚散，万取一收。
咏梧桐,清代,郑燮,高梧百尺夜苍苍，乱扫秋星落晓霜。如何不向西州植，倒挂绿毛幺凤皇。
武侯庙,明代,佚名,剑江春水绿沄沄，五丈原头日又曛。旧业未能归后主，大星先已落前军。南阳祠宇空秋草，西蜀关山隔暮云。正统不惭传万古，莫将成败论三分。
